번호,시설명,도로명전체주소,위도(EPSG4326),경도(EPSG4326)
88,동대문전철역지하상가 지하1층,"서울특별시 종로구 율곡로 지하308, 4호선 동대문역 (종로6가)",37.57037804,127.0093889
89,여전도회관 지하1층,"서울특별시 종로구 율곡로 190 (연지동, 여전도회관)",37.57575733,126.9997679
90,서울보증보험 지하2~5층,서울특별시 종로구 김상옥로 29 (연지동),37.57349499,127.0008597
91,삼양사 지하1층,"서울특별시 종로구 종로33길 31 (연지동, 삼양사)",37.57256246,127.0015556
92,"연강빌딩, 두산아트센터 지하1~5층","서울특별시 종로구 종로33길 15 (연지동, 두산아트센터)",37.57185706,127.0012707
93,현대그룹빌딩 지하1층,"서울특별시 종로구 율곡로 194 (연지동, 현대그룹빌딩)",37.57559803,127.000266
94,종오지하쇼핑센터 지하1층,"서울특별시 종로구 종로 지하 200 (종로5가, 종오지하쇼핑센터)",37.57075775,126.9999428
95,지하철1호선 동묘앞역 대합실 승강장 지하1층,"서울특별시 종로구 종로 359, 동묘앞역 지하1층 (숭인동)",37.57367267,127.0173731
96,숭인상가아파트 지하1층,"서울특별시 종로구 청계천로 391, 지하1층 (숭인동, 숭인상가아파트)",37.57210126,127.0207102
97,서진빌딩 지하1층,"서울특별시 종로구 난계로 247, 서진빌딩 지하1층 (숭인동)",37.57368581,127.0230656
98,진형빌딩 지하1층,"서울특별시 종로구 종로 386, 진형빌딩 지하1층 (숭인동)",37.57420241,127.0202077
100,서울대학교병원 의학연구혁신센터 지하4층 주차장,"서울특별시 종로구 대학로 71, 서울대학교병원 의학연구혁신센터 (연건동)",37.57766231,127.0018746
101,금호팔레스빌딩 지하1~2층,"서울특별시 종로구 지봉로 29 (창신동, 금호팔레스빌딩)",37.57260822,127.015377
102,시즌빌딩 지하2~5층,"서울특별시 종로구 지봉로 19 (창신동, 삼우텍스프라자)",37.57174164,127.0154677
103,두산아파트 지하1~2층,"서울특별시 종로구 지봉로5길 7 (창신동, 두산아파트)",37.57440424,127.015099
104,지하철1호선 동대문역 대합실 승강장,"서울특별시 종로구 종로 지하 302 (창신동, 1호선 동대문역)",37.57174874,127.0112905
105,지하철4호선 동대문역 대합실 지하4층 승강장,"서울특별시 종로구 율곡로 지하 308 (종로6가, 4호선동대문역)",37.57037804,127.0093889
106,동신교회 지하1층,"서울특별시 종로구 종로44길 43 (창신동, 동신교회,동신교회교육관)",37.57077886,127.0126781
108,지하철6호선 동묘앞역 대합실 승강장,"서울특별시 종로구 지봉로 지하24, 6호선 동묘앞역 (숭인동)",37.57220012,127.0157409
109,서울영천교회 지하1층,"서울특별시 종로구 통일로12길 14 (행촌동, 영천교회)",37.57337112,126.960246
110,"성균관대학교 600주년기념관 지하2,3,4층","서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",37.58490742,126.9969489
111,인왕산아이파크아파트 주차장 지하2층,"서울특별시 종로구 통일로16길 8-3, 109동 지하1층 (무악동, 인왕산아이파크)",37.57610871,126.9575398
112,지하철5호선 광화문역 지하1~3층 대합실 승강장,"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 지하1~3층 (세종로)",37.57165012,126.9771564
114,두산위브파빌리온 지하2~3층,"서울특별시 종로구 삼봉로 81 (수송동, 두산위브파빌리온)",37.57231071,126.9817339
115,"GS건설, 그랑서울 지하2~7층",서울특별시 종로구 종로 33 (청진동),37.57044711,126.981149
116,광화문역연결 청진지하공공보도,"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 (세종로)",37.57165012,126.9771564
117,동아일보사 지하2~4층,"서울특별시 종로구 청계천로 1 (서린동, 동아일보사)",37.56947758,126.9777964
118,신교공영주차장 지하1층~4층,"서울특별시 종로구 자하문로 89, 종로구 장애인복지관 및 푸르메재활센터(신교공영주차장) (신교동)",37.58397861,126.9700902
119,상명대학교 박물관 지하주차장,"서울특별시 종로구 평창문화로 151, 지하주차장 (평창동)",37.61040055,126.9763074
120,창진파크팰리스 지하1층(공사 중 진입 불가),"서울특별시 종로구 평창문화로 87, 창진파크팰리스 지하1층 (평창동)",37.60704718,126.9708075
121,서울세검정초등학교 지하2층,"서울특별시 종로구 세검정로9길 1 (신영동, 서울세검정초등학교)",37.60315311,126.9613671
122,상명대학교 미래백년관 지하2층~3층,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",37.60182057,126.9549752
123,상명대학교 자하관 지하1층,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",37.60182057,126.9549752
124,올림픽기념 국민생활관 지하1층,"서울특별시 종로구 성균관로 91 (혜화동, 국민생활관)",37.59001485,126.9989839
125,종로청계힐스테이트아파트 지하1층,"서울특별시 종로구 숭인동길 21, 지하1층 (숭인동, 종로청계힐스테이트)",37.57589564,127.0215821
128,인왕산2차 아이파크아파트 지하1층,"서울특별시 종로구 통일로18길 34, 201동 지하1층 (무악동, 인왕산2차아이파크아파트)",37.57608414,126.9591183
129,원서빌딩 지하주차장 1층,"서울특별시 종로구 창덕궁1길 13, 원서빌딩 (원서동)",37.57922844,126.988435
130,경희궁롯데캐슬아파트 지하2층,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬)",37.57350961,126.9594371
131,SK에코플랜트 수송스퀘어 지하2~6층,"서울특별시 종로구 율곡로2길 19, 수송스퀘어 (수송동)",37.57470121,126.9808903
132,삼성아파트 지하주차장 1~2층,"서울특별시 종로구 평창문화로 172 (평창동, 삼성아파트)",37.61102289,126.9785255
133,반얀트리클럽앤스파서울 지하1~2층,"서울특별시 중구 장충단로 60 (장충동2가, 반얀트리 클럽 앤 스파 서울)",37.55112382,127.0008558
134,3호선약수역지하철승강장,"서울특별시 중구 다산로 지하122, 약수역 3호선 (신당동)",37.5546655,127.0107423
135,서울역우체국앞지하보도,"서울특별시 중구 통일로 21 (봉래동2가, 서울역앞우체국)",37.55753891,126.9714441
136,단암타워빌딩 지하1~2층,"서울특별시 중구 소월로 10 (남대문로5가, 단암빌딩)",37.55862615,126.9755494
137,앰배서더호텔 지하1~2층,"서울특별시 중구 동호로 287 (장충동2가, 그랜드앰배서더서울)",37.56011825,127.0025949
138,천수빌딩KEB하나은행 지하1층,"서울특별시 중구 수표로 67 (수표동, 외환은행)",37.5672849,126.9894369
139,금세기빌딩 지하2~3층,"서울특별시 중구 무교로 6 (을지로1가, 금세기빌딩)",37.56645417,126.9793483
140,시청광장지하쇼핑센터,"서울특별시 중구 을지로 지하 12 (을지로1가, 시청광장지하쇼핑센터)",37.56596076,126.9790878
141,을지로입구지하쇼핑센터,"서울특별시 중구 을지로 지하58, 을지로입구지하쇼핑센터 (을지로2가)",37.56611285,126.9841529
142,3호선동대입구역지하철승강장,"서울특별시 중구 동호로 지하 256 (장충동2가, 동대입구역 3호선)",37.55909277,127.0054297
143,선일빌딩3호선약수역지하철승강장,"서울특별시 중구 동호로 191 (신당동, 선일빌딩)",37.5550718,127.010105
144,을지로지하상가,"서울특별시 중구 을지로 지하 88 (을지로2가, 을지로2구역지하쇼핑)",37.56616366,126.9875666
145,2호선을지로입구역지하철승강장,"서울특별시 중구 을지로 지하 42 (을지로1가, 을지로입구역 2호선)",37.56603591,126.9823594
146,신당지하쇼핑센터,"서울특별시 중구 퇴계로85길 지하 56 (황학동, 신당지하쇼핑센터)",37.56832854,127.0196177
148,조양빌딩신관 지하1~2층,"서울특별시 중구 삼일대로6길 5, 조양빌딩신관 (충무로2가)",37.5624755,126.9893118
149,한국은행앞지하보도,"서울특별시 중구 남대문로 39 (남대문로3가, 한국은행건물)",37.56165608,126.980097
150,롯데백화점 본점 지하주차장 2~7층,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 본점)",37.564616,126.9820648
151,삼성본관 지하2~3층,"서울특별시 중구 세종대로 67 (태평로2가, 삼성본관빌딩)",37.56238571,126.9758541
152,대한상공회의소 지하3층,"서울특별시 중구 세종대로 39 (남대문로4가, 대한서울상공회의소)",37.56045247,126.9738934
153,프라자호텔 지하2층,"서울특별시 중구 소공로 119 (태평로2가, 서울프라자호텔)",37.56475785,126.9781798
154,2호선시청역지하철승강장,"서울특별시 중구 서소문로 지하 127 (서소문동, 시청역 2호선)",37.56356784,126.9752686
155,소공지하쇼핑센터,"서울특별시 중구 소공로 지하 102 (남대문로2가, 소공지하쇼핑센터)",37.56385499,126.979618
156,소공지하도상가,"서울특별시 중구 소공로 116 (소공동, 서울센타빌딩)",37.56490653,126.9788558
157,남대문로지하쇼핑센터,"서울특별시 중구 남대문로 지하14, 남대문로지하쇼핑센터 (남대문로3가)",37.56085909,126.9773518
158,남대문앞지하보도,"서울특별시 중구 세종대로 50 (남대문로4가, 흥국생명빌딩)",37.56082696,126.9760652
159,4호선회현역지하철승강장,"서울특별시 중구 퇴계로 지하 54 (남창동, 회현역 4호선)",37.558551,126.9783017
160,부영빌딩 지하3층,"서울특별시 중구 세종대로9길 42, 부영빌딩 (서소문동)",37.56160903,126.9736473
161,남산입구지하보도,"서울특별시 중구 소월로 3 (남창동, 롯데손해보험빌딩)",37.55938552,126.9760697
162,서울역앞지하보도,"서울특별시 중구 세종대로 지하2, 서울역 1호선 (남대문로5가)",37.55692795,126.9725564
163,삼익패션타운 지하2~4층,서울특별시 중구 남대문시장8길 7(남창동),37.56014428,126.9788324
164,1호선시청역지하철승강장,"서울특별시 중구 세종대로 지하 101 (정동, 시청역 1호선)",37.5654719,126.976993
165,명동역지하철승강장,"서울특별시 중구 퇴계로 지하 126 (충무로2가, 명동역 4호선)",37.56090471,126.9859111
166,덕수궁앞지하보도,"서울특별시 중구 세종대로 124 (태평로1가, 프레스센터)",37.56730164,126.9776982
167,3호선충무로역지하철승강장,"서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)",37.5614376,126.9955382
168,3호선을지로3가역지하철승강장,"서울특별시 중구 을지로 지하106, 을지로3가역 2호선 (을지로3가)",37.56624384,126.9902818
169,연세봉래빌딩 지하1~3층,"서울특별시 중구 칠패로 36 (봉래동1가, 연세봉래빌딩)",37.55951105,126.9727851
